date_published,date_close,title_en,title_fr,link_en,link_fr
2026-07-18,2027-02-27,Use of French in Federally Regulated Private Businesses Regulations,Règlement sur l'usage du français au sein des entreprises privées de compétence fédérale,https://gazette.gc.ca/rp-pr/p1/2026/2026-07-18/html/reg1-eng.html,https://gazette.gc.ca/rp-pr/p1/2026/2026-07-18/html/reg1-fra.html
2026-07-11,2026-09-09,Regulations Amending Certain Regulations Relating to Harmonization of the Enhanced Feed Ban,Règlement modifiant certains règlements concernant l’harmonisation de l’interdiction renforcée frappant les aliments du bétail,https://gazette.gc.ca/rp-pr/p1/2026/2026-07-11/html/reg1-eng.html,https://gazette.gc.ca/rp-pr/p1/2026/2026-07-11/html/reg1-fra.html
2026-07-04,2026-08-03,By-law Amending the Canada Deposit Insurance Corporation Deposit Insurance Information By-law,Règlement administratif modifiant le Règlement administratif de la Société d'assurance-dépôts du Canada sur les renseignements relatifs à l'assurance-dépôts,https://gazette.gc.ca/rp-pr/p1/2026/2026-07-04/html/reg1-eng.html,https://gazette.gc.ca/rp-pr/p1/2026/2026-07-04/html/reg1-fra.html
2026-07-04,2026-08-03,Regulations Amending Certains Regulations Made Under the Fisheries Act (Unattended Fishing Gear),Règlement modifiant certains règlements pris en vertu de la Loi sur les pêches (surveillance des engins de pêche),https://gazette.gc.ca/rp-pr/p1/2026/2026-07-04/html/reg2-eng.html,https://gazette.gc.ca/rp-pr/p1/2026/2026-07-04/html/reg2-fra.html
2026-07-04,2026-08-03,"Regulations Amending the British Columbia Sport Fishing Regulations, 1996",Règlement modifiant le Règlement de 1996 de pêche sportive de la Colombie-Britannique,https://gazette.gc.ca/rp-pr/p1/2026/2026-07-04/html/reg3-eng.html,https://gazette.gc.ca/rp-pr/p1/2026/2026-07-04/html/reg3-fra.html
2026-07-04,2026-08-03,Regulations Amending the Electricity and Gas Inspection Regulations and the Weights and Measures Regulations,Règlement modifiant le Règlement sur l’inspection de l’électricité et du gaz et le Règlement sur les poids et mesures,https://gazette.gc.ca/rp-pr/p1/2026/2026-07-04/html/reg4-eng.html,https://gazette.gc.ca/rp-pr/p1/2026/2026-07-04/html/reg4-fra.html
2026-06-27,2026-08-26,Regulations Amending the Safe Food for Canadians Regulations (Unmet Slaughter Capacity),Règlement modifiant le Règlement sur la salubrité des aliments au Canada (capacité insuffisante en matière d’abattage),https://gazette.gc.ca/rp-pr/p1/2026/2026-06-27/html/reg1-eng.html,https://gazette.gc.ca/rp-pr/p1/2026/2026-06-27/html/reg1-fra.html
2026-06-27,2026-07-27,Regulations Amending the Financial Consumer Protection Framework Regulations,Règlement modifiant le Règlement sur le régime de protection des consommateurs en matière financière,https://gazette.gc.ca/rp-pr/p1/2026/2026-06-27/html/reg2-eng.html,https://gazette.gc.ca/rp-pr/p1/2026/2026-06-27/html/reg2-fra.html
2026-06-27,2026-08-26,Consumer-Driven Banking Regulations,Règlement sur les services bancaires axés sur les consommateurs,https://gazette.gc.ca/rp-pr/p1/2026/2026-06-27/html/reg3-eng.html,https://gazette.gc.ca/rp-pr/p1/2026/2026-06-27/html/reg3-fra.html
2026-06-20,2026-07-20,Regulations Amending Certain Regulations Made Under the Canada Post Corporation Act (Miscellaneous Program),Règlement correctif visant certains règlements pris en vertu de la Loi sur la Société canadienne des postes,https://gazette.gc.ca/rp-pr/p1/2026/2026-06-20/html/reg1-eng.html,https://gazette.gc.ca/rp-pr/p1/2026/2026-06-20/html/reg1-fra.html
2026-06-20,2026-07-20,Regulations Amending the Immigration and Refugee Protection Regulations (Asylum System Reform),Règlement modifiant le Règlement sur l’immigration et la protection des réfugiés (réforme du système d’octroi de l’asile),https://gazette.gc.ca/rp-pr/p1/2026/2026-06-20/html/reg2-eng.html,https://gazette.gc.ca/rp-pr/p1/2026/2026-06-20/html/reg2-fra.html
2026-06-20,2026-07-20,Rules Amending the Refugee Protection Division Rules,Règles modifiant les Règles de la Section de la protection des réfugiés,https://gazette.gc.ca/rp-pr/p1/2026/2026-06-20/html/reg3-eng.html,https://gazette.gc.ca/rp-pr/p1/2026/2026-06-20/html/reg3-fra.html
2026-06-20,2026-08-29,"Regulations Amending the Energy Efficiency Regulations, 2016 (Amendment 19)",Règlement modifiant le Règlement de 2016 sur l’efficacité énergétique (modification 19),https://gazette.gc.ca/rp-pr/p1/2026/2026-06-20/html/reg4-eng.html,https://gazette.gc.ca/rp-pr/p1/2026/2026-06-20/html/reg4-fra.html
2026-06-20,2026-08-19,Regulations Amending the Vessel Pollution and Dangerous Chemicals Regulations (Part 2 Division 1 — Oil) and the Administrative Monetary Penalties and Notices (CSA 2001) Regulations,Règlement modifiant le Règlement sur la pollution par les bâtiments et sur les produits chimiques dangereux (partie 2 section 1 — hydrocarbures) et le Règlement sur les sanctions administratives pécuniaires et les avis (LMMC 2001),https://gazette.gc.ca/rp-pr/p1/2026/2026-06-20/html/reg5-eng.html,https://gazette.gc.ca/rp-pr/p1/2026/2026-06-20/html/reg5-fra.html
2026-06-13,2026-07-28,Regulations Amending the Pest Control Products Regulations (Exemptions and Product Authorizations),Règlement modifiant le Règlement sur les produits antiparasitaires (exemptions et autorisations de produits),https://gazette.gc.ca/rp-pr/p1/2026/2026-06-13/html/reg2-eng.html,https://gazette.gc.ca/rp-pr/p1/2026/2026-06-13/html/reg2-fra.html
